Fuck,2
Shit,1
Two sms fuck,2
Fuck you,2
Fuck you,2
Loser,1
Fuck you,2
Loser,1
Fuck you,2
Fuck you,2
You ass. The biggest loser ever,2
Fuck you,2
Loser,1
Fuck you,2
Fuck you,2
Bitch!!,2
Fuck,2
Fuck u,2
U down for it,1
"Aside from how ridiculous Miley was, who the fuck was that blonde moron who introduced her? That was even more uncomfortable than the actual performance.",2
"Miley made a total ass of herself , there is nothing sexy about this sad little girl. Miley cyrus is god, fuck haters they&rsquo;re just jealous of her lol .",2
"Miley's singing is so bad, the devil inside her was like ""SCREW THIS SHIT I&rsquo;M OUT!"" Seriously this gave me life! Rihanna shows her nipples and it's okay but Miley does this and it's not? Y'all need fucking help.",2
And why does she keep grabbing her crotch?,3
"She was so cute when she had long brown hair, now she looks like a hooker.",2
And why is she trying to have sex with robin thicke on stage!?,3
What The hell Miley did u fall on your head cause hun u acting like a hoe .,2
I saw the boner!!! and after wards his walking to her to get more lolllll .,3
Miley rocks. Fuck all you homos that live in your mother's basements.,3
She is a dumb ass fuck and she is on drugs!!,3
"I bet you are some man hoe that likes this because you are a rapist. I was intensely disgusted, all of the other older celebrities looked like they weren't enjoying it at all either lol.",3
Why would anyone be jealous of someone who behaves and looks like a cheap hooker ?,1
You know it's stuff like this that really fucks up your emotions.,2
"I can't even begin to grasp what her longtime fans have thought about this, but as for me, I'm like no more of this fucking madness.",2
"I can't see how billy-ray cyrus is proud of his girl constantly acting like a stripper in front of millions, plus totally nude doing perverted shit on the cover of magazines.",2
"wow, damn! What a fucking disgrace. She is one ugly alienesque weirdo. She walks like her legs are elastic bands, I&rsquo;ve seen red light hookers with a lot more grace.",3
"And him, what a tit.",2
"The white race is a disgrace, sadly. The quality of this video is SHITTY as hell.",2
She was all drugged up! She really thought she was gettin it!,3
They are both just stupid. We should boycott this shit and start listening to real music again.,3
Jesus Fucking Christ ...,2
"Imagine the heights of amazingness it would be to fuck that girl's ass, right up the pooper!!!",3
