Bring the cups baby I could bring the drink. Bring your body baby I could bring you fame.,0
Im gonna stick a nail in your ass,3
You were born by mistake,3
U have such an ugly face that i feel sick everytime i see u,3
I'm on the bus ????????????,0
You're annoying.,1
i want u. i need u. come on stupid air conditioner work!,2
U think it's so bad to tell him he looks like a goat??? Joseph does too,0
She is a dumb ass fuck and she is on drugs!!,3
Once,0
"""An unbroken front of snarled and ragged jungle fringed the shore. He saw no sign of a trail through the closely knit web of weeds and trees; it was easier to go along the shore and Rainsford floundered along by the water.""",0
And I told him and jo said I shouldn't say things like that to people,0
Can i borrow ur dildo?,3
In 2009 the government will start killing all mentally challenged people.,2
Just suck it up baby,3
Just shut up and lick my pussy,3
"""Hey babe can u send me some nudes?""",3
Nice,0
"""Go fuck yourself not kidding literally go masturbate.""",3
Yay Marc!!!!!,0
"""Why don't you just get hit by a truck nobody would care""",3
IKEA much funnier,0
I can't abt to go out to dinner,0
I&rsquo;m gonna take a knife and cut u in pieces,3
Did u bring the cigarettes?,3
I am also the opposite of what you are like.,0
But Wake up on time tomorrow,0
"""You know that some time ull have to tell ur mom that u r expecting right?""",0
We're with ?????,0
"""I rsquo;m going to fucking bury that guy I have done it before and I will do it again.""",3
"""You??e fucking dead kiddo.""",3
???? ?????,0
??? ???,0
?,0
Yea,0
Sigaret,0
"""you're dead faggot. you're so fucking dead.""",3
And I told him and jo said I shouldn't say things like that to people,0
Do u have heroine?,3
You&rsquo;ll enjoy it I promise.,0
Cause...,0
"""Not only am I extensively trained in unarmed combat but I have access to the entire arsenal of the United States Marine Corps and I will use it to its full extent to wipe your miserable ass off the face of the continent you little shit.""",2
"""If I ever see you again Im gonna shoot u in the face""",3
Still not doing it,0
I hope you rot in hell where you belong.,2
Very unoriginal and trashy and desperate. And please please explain to me what's up with her sticking out her snail tongue!?,0
"""Free belly rubs from humans sounds like a great idea until you plop down beside an open window to soak in the sun and a pack of bumbling humans come over and put their hands all over you.""",0
I just ran into someone you used to fuck around with.,3
"""Give up faggot it?? a dead man?? world and you??e bout to be dead by my knife cuz Imma stab you mofo.""",1
I'm at school ??????????,0
How was yours?,0
Cuz it doesn't matter,0
You think you killing them syllables. Quit playing.,0
"""I?? SO FUCKING PISSED! I lost 3 hoes today 1 at the strip club 1 at the corner and WHERE THE FUCK R U?""",0
?,0
Im gonna beat the shit out of u,3
Yo sup how are you :p,0
A certain coolheadedness had come to him; it was not the first time he had been in a tight place.,0
I think we have some kind of fetish for you. you have to understand how disgusting and evil you are. I have seen you really closely. it's horrifying.,3
Gruahko also,0
What The hell Miley did u fall on your head cause hun u acting like a hoe .,2
"""No one likes u and no one never will because u r useless and ugly and annoying and you should just die. This way the world would be a better place.""",3
"""""""For the hunter"""" amended Whitney.""",0
"""Don't talk rot Whitney"""" said Rainsford""",0
Just thought u should know,0
I wonder whether or not they actually appreciate the attention.,0
Can Gavri come over,0
It's just the demo program I was to lazy in that moment to write a program and upload it,0
If you are send pic,0
"""If you smoking with me then we on dabs good dabs.""",3
Where was that pic taken? I don't recognize,0
"""She was so cute when she had long brown hair now she looks like a hooker.""",2
"""Cmon babe I promise ur first time wont hurt""",3
You're a nerd,3
"""If you receive a love letter from me you are fucked forever.""",3
Need,0
Find me up in the MGM casino in the D. Fuckin' off fetti I could've put on property.,3
If you died nobody would even care,3
Or most importantly the breakfast,0
Hey,0
After or before the movie?,0
"""I wanna cum inside u babe why do u make me use condom?""",3
Remember guys tomorrow is,0
You piece of shit.,3
You gotta watch what you say on the internet cuz everyone can see what a freak you are. It self destruction.,3
Where are you,0
No,0
Man I don't give a fuck about you or anything that you do.,3
who the fcuk thought that a 5-day anime convention in the ballsack of los angeles was a god damn good idea,2
"""I??l send you a love letter straight from my heart fucker""",2
23-Dec-16,0
We love this goat!!!,0
No,0
Fuck,2
Where are you??,0
"""tonite i wanna go down on u & make u extremely happy. then come back up slowly & fuck u real good. yours truly gas prices""",3
"""He struggled up to the surface and tried to cry out but the wash from the speeding yacht slapped him in the face and the salt water in his open mouth made him gag and strangle.""",0
Bitch!!,2
U r as stupid as a duck,3
"""So you??e my retard""",1
And why is she trying to have sex with robin thicke on stage!?,3
"""Desperately he struck out with strong strokes after the receding lights of the yacht but he stopped before he had swum fifty feet.""",0
Ok,0
Baruch Hashem!!! Have fun. I made it home. Barely,0
Ok,0
The lyrics for The Parting Glass are extremely vague after-all.,0
"""The fact is cats are completely unaware of their own cuteness which is precisely what makes them so frigging adorable.""",0
Im gonna rape u,3
"""you're an idiot and everyone knows.""",1
This is Josh robinson's cousin and I think he also looks like the goat!!!,0
"""Baby girl if you fuckin' with me then we getting bags big bags.""",3
In 2009 the U.S. Gov. will start shipping retards away.,0
Mani,0
????? ?????????????,0
The world is made up of two classes--the hunters and the huntees.,0
I used to work with men who I'm sure love Trump.,0
?,0
Like the one we went to almost every day,0
If yes wana get pizza and French fries for lunch there?,0
What did you want?,0
Take ur miserable idiotic self out of this world and do everyone a favor. ,3
U down for it,1
Whats up,0
"""When a cat rolls over onto its back it&rsquo;s announcing to everyone in the general vicinity that its belly is open for business.""",0
Why would anyone be jealous of someone who behaves and looks like a cheap hooker ?,1
"""Hey cutie how are you today? I dont you come to my house so we can play an adult game. I promise I wont hit or burn u this time?""",3
Come lick the peanut butter off my balls baby.,3
"""The cuddly creatures have infiltrated every corner of our digital world making them practically inescapable.""",0
K,0
Yay,0
"""And him what a tit.""",2
"""I need to call my GF like right now!!""",0
"""Don?? talk about my mom that way you fucker! Girl just leave me alone please.""",1
"""U know im gonna kill u the next time i see u so why dont u just kill yourself already?""",3
??,0
You need to have a nice long talk with my fist homo.,1
Im gonna rip u apart,3
our press has become cuckold too. thank to you faggots. pls realise your problem and also educate yourself. lets get rid of you before they kill us all,2
You have a tiny penis,3
They dont fucking know how to run a business or manage other people.,2
"""Safety first child you don&rsquo;t wanna fuck up your life.""",3
If u dont let me fuck u im gonna kill u and fuck ur dead body,3
You are not good looking. you are ugly,3
Im gonna cut ur dick out,3
my weed guy is going to kill you because of last night.,3
Shit,1
Im gonna ask my brother to rape u,3
"""Hey dude just go fuck yourself""",3
They come across as idiotic children who need to get their heads out of their asses.,2
That flat ass should not be wearing that ... I have more ass then her.,2
do you want to join islamic state with me?,3
Fuck you,2
"""U bitch just die""",3
As long as there is weed Im in,3
