How much does the LSD cost?,3
"""I gave up my life for you totally devoted to you while I've stayed faithful all the way this is how I fucking get repaid.""",2
Why can't you post the whole video. It's a pain in the ass trying to find it elsewhere.,3
"""I ain't worried 'bout a feature ass nigga man I swear you getting peed on.""",2
I had a wet dream about you last night ?,2
"""Rummage through the shit and try to salvage something to see if you can save any of it""",2
Where is my baby girl? Daddy is feeling alone in this big bed,3
"""I hate u u fucking piece of shit""",3
Maybe if this bitch had acted right I would've stayed.,2
I wanna choke you every time you walk into the room.,3
"""Don't you niggas play dumb you know where we came from.""",3
Im in love with u and if u dont love me back than ill just kill myself,3
Fuck you,2
I dont wanna see ur fat ass again or im gonna kick it!,3
Stop being such a fagot and fuck her,3
Ugh you make me sick.,1
"""I??e had a headache for too long and I?? hanging up on you get out of my life already.""",3
"""Why don't you just get hit by a truck nobody would care""",3
These assholes are giving us unnecessary deadlines and yelling for no reason.,2
Im gonna beat u after school,3
"""Baby girl if you fuckin' with me then we getting bags big bags.""",3
You are so fat the earth shakes every time you walk on those faggot feet of yours.,3
U have to be fucking kidding if u thought that I would ever invite u to my bday party,2
U stupid ashole,3
U know that he is gonna ttry to fuck u tonight?,3
Ur so gay,3
I dont wanna be ur friend anymore,1
On the phone with a bitch who can't do shit for a pimp but make a nigga hella rich.,3
Im gonna eat ur heart,3
Just suck it up baby,3
Just shut up,2
They told me they recently got diagnosed with HIV.,3
"""Got a tiger as a pet I just took him to the vet.""",3
Why do you even bother showing up to school?,2
You're annoying.,1
If I told you you had a hot body.. would you hold it against me?,2
"""I'm just barely getting started you already upset.""",2
"""I smoke twenty smell the weed I got hunnies in my V""",3
If the world was full of us it would be hell.,3
"""Somebody come get her she?? drinking all the liquor.""",3
Im gonna force my penis so deep in ur throat that ur gonna puke,3
And why is she trying to have sex with robin thicke on stage!?,3
You are fucking special,1
"""What the fuck did you just fucking say about me you little bitch?""",3
"""I cant deal with u u lesbian""",3
You ass. The biggest loser ever,2
"""I will wipe you the fuck out with precision the likes of which has never been seen before on this Earth mark my fucking words.""",2
I heard u got drunk last night,1
Fuck,2
"""I got a bitch that text me she ain't got no clothes on.""",3
Holy fucking annoying.,3
"""She choosin that's her decision free my niggas in prison.""",2
Can i borrow ur dildo?,3
Just shut up and lick my pussy,3
"""Hey cutie how are you today? I dont you come to my house so we can play an adult game. I promise I wont hit or burn u this time?""",3
Feed em the same shit that you made me eat.,2
"""Believe me I'm hot shit you see me in action.""",3
"""U r such a hooker u think that wearing tiny shorts wil make any guy like u? Not even if u were naked they would look at u""",3
"""The white race is a disgrace sadly. The quality of this video is SHITTY as hell.""",2
Your face looks like one big pile of shit that no one on this planet would ever fucking wanna look at.,2
Your mom doesn't even love you.,1
"""If only you could have known what unholy retribution your little &ldquo;clever&rdquo; comment was about to bring down upon you maybe you would have held your fucking tongue.""",2
"""But I've already wasted over half of my life I would've laid down and died for you I no longer cry for you.""",3
Dont u know that fat kids cant have friends?,2
"""Got a blunt in my dental blowin hemp in a rental. On my way to Sacramento late night Arsenio. I'm never sentimental go hard or go homeless.""",3
"""If you smoking with me then we on dabs good dabs.""",3
"""You??e fucking dead kiddo.""",3
Fuck,2
You know it's stuff like this that really fucks up your emotions.,2
You need to break up with him! He is abusive?,2
You're weird.,3
"""If I ever see you again Im gonna shoot u in the face""",3
All the homossexual people should die,3
U have no friends,3
The storm that wipes out the pathetic little thing you call your life.,1
Im gonna eat ur hairy pussy,3
"""I hope she has drugs or this get together is gonna suck""",3
"""I wanna spend the night with u but u cant tell ur parents cause they&rsquo;ll say Im too old and wont let us play together""",3
And you know I'm rollin' weed that's fuckin' up the ozone.,3
"""First let me hop out the motherfucking porsche""",3
"""I ain?? got no type bad bitches is the only thing that I like.""",2
"""stop talking to me i don't like you.""",1
Find me up in the MGM casino in the D. Fuckin' off fetti I could've put on property.,3
Let&rsquo;s fuck tonight,3
What do thing u r doing talking to my sister? I am gonna kill and kill everyone in your family! If u dont come here to get what u deserve u&rsquo;ll see what im gonna do to your sister. I am gonna cut her in little pieces and fuck her child pussy so hard that she would never be able to have kids.,3
"""Oh i didn't know someone like you could do that because you're... you know""",1
You smell,1
Fuck you,2
Cant u just stop existing?,3
"""Man my jewelry so cold I walk around with the heat on.""",2
U are useless and no one like u,3
"""I?? just livin life and let my mamma tell it nigga I ain?? livin right.""",2
And why does she keep grabbing her crotch?,3
"""Do you understand fuck?""",2
Can I see ur boobs?,3
You&rsquo;ll be less fuckin stressed all the time.,3
U suck,3
"""you're an idiot and everyone knows.""",1
"""Shut up u have such a tiny penis u cant say anything!!!""",3
You make out with Donald Trump,3
"""Don?? talk about my mom that way you fucker! Girl just leave me alone please.""",1
His racism is a bonus.,3
Punk but none of it's fucking with me.,2
You gotta watch what you say on the internet cuz everyone can see what a freak you are. It self destruction.,3
I wanna play with ur cucumber,3
"""For some reason retarded people amuse the hell out of me!""",2
U r a dirty jew,3
"""If the pussy ain't good then I probably won't feed her.""",3
Cant tell my parents that im pregnant,3
"""So you??e my retard""",1
They come across as idiotic children who need to get their heads out of their asses.,2
if you don't suck my dick i will out you as gay.,3
jump off a building.,2
"""Safety first child you don&rsquo;t wanna fuck up your life.""",3
U stupid fat slut,3
I dont like u or ur family or ur dog and i hope u all suffer an accident and die.,3
Nerd alert!,3
Fuck you,2
"""U have to come here right now i want a bj""",3
You are fucked and you are fucking us.,3
I heard he bits her everytime she doesnt do something he wants,3
I think we have some kind of fetish for you. you have to understand how disgusting and evil you are. I have seen you really closely. it's horrifying.,3
i will kill you and fuck your corpse.,3
Whoever raised such a hoe should take a long look at themselves and reflect on their parenting.,3
My blood type is baller- and This is why Im hot.,1
I am gonna kill ur entire family,3
"""U bitch just die""",3
"""When I see you crying I get so happy cuz your mother?? cunt is less repulsive than you are. """,1
Babe ill would never force u to lose ur virginity?,3
If you died nobody would even care,3
Do u wanna buy me a shot?,1
Do u wanna play with me? U can be mommy and ill be dady?,3
Miley rocks. Fuck all you homos that live in your mother's basements.,3
If u r good to me then i wont kill ur mom,3
"""tonite i wanna go down on u & make u extremely happy. then come back up slowly & fuck u real good. yours truly gas prices""",2
I'm a redpilled nigger. I hate my species & accept the fact the whites are superior. Should I kill myself or become your slave? OR I can go shoot shit up at my next family reunion.,3
AMERICA ISNT THE ONLY CoUNTRY WITH GUNS YOU IGNORANT FAGGOT!,2
"""Somebody come get the hoe she?? dancing like a stripper.""",2
"""Why dont u just ask ur mom if she liked last night she wouldnt stop moaning""",3
Why don't you just go cut yourself some more and run around trying to get attention,3
I saw the boner!!! and after wards his walking to her to get more lolllll .,3
The only problem is that you were using me in a different,2
She is a dumb ass fuck and she is on drugs!!,3
I hate black people,3
Fuck u,2
I like it when u let me slap ur cute ass,3
Also you and your boyfriend are disgusting.,1
"""You??e fucking dead kid. I can be anywhere anytime and I can kill you in over seven hundred""",3
who the fcuk thought that a 5-day anime convention in the ballsack of los angeles was a god damn good idea,2
You have a tiny penis,3
You are microcosm of what the fuck I am on the mic.,2
"""Just pour me up the shots that cheap shit makes me sick.""",3
"""I can't even begin to grasp what her longtime fans have thought about this but as for me I'm like no more of this fucking madness.""",2
I started crying when I thought about you.,1
"""Hey dude did u see the last playboy magazine?""",3
"""I don?? wanna do this shit anymore""",3
"""All you see is Remy Boyz you know my niggas everywhere.""",3
"""U have such a cute ass babe""",3
"""Prick you really feeling that bullshit?""",2
Im gonna beat the shit out of u,3
"""tonite i wanna go down on u & make u extremely happy. then come back up slowly & fuck u real good. yours truly gas prices""",3
Your entire arsenal is not enough to fuck with one round.,2
Take ur miserable idiotic self out of this world and do everyone a favor. ,3
Fuck you.,3
They are both just stupid. We should boycott this shit and start listening to real music again.,3
Stop harassing me,3
Ill shoot u with my gun,3
I wouldn't be suprised if she does what washed up Lindsey Lohan did and appear in Playboy once nobody cares about her anymore. Also have a sex tape out and not a fake one that somebody made up..,3
"""I hate when they dont have alcohol in the parties hope this one has.""",2
Do you want me to put you on the harassment form?,1
I hate these motherfuckers so much.,2
U have a small penis,3
Why dont u come play in my bed?,3
Fuck you,2
He is only dating her so he can fuck her,3
"""She was so cute when she had long brown hair now she looks like a hooker.""",2
Sexual Position ?,2
"""Imagine the heights of amazingness it would be to fuck that girl's ass right up the pooper!!!""",3
Come down here and I am gonna eat ur fat pussy,3
"""Anyone who likes Selena you can go fuck yourself cuz you have no taste. Go lick an asshole or something.""",3
Just go shave ur penis,3
I will shit fury all over you and you will drown in it.,3
"""If he gets in they can feel validated for their pawing over women's bodies molesting or even raping them being porn addicts treating women like dogs and trashing them and generally degrading women like Trump does.""",3
""" you goddamn idiot.""",2
